Time (sec),Heart Rate (BPM)
0.0, 103
5.0, 103
10.0, 103
15.0, 105
20.0, 108
25.0, 110
30.0, 110
35.0, 112
40.0, 112
45.0, 114
50.0, 114
55.0, 117
60.0, 117
65.0, 118
70.0, 119
75.0, 119
80.0, 120
85.0, 121
90.0, 121
95.0, 122
100.0, 123
105.0, 124
110.0, 124
115.0, 125
120.0, 126
125.0, 127
130.0, 128
135.0, 127
140.0, 128
145.0, 128
150.0, 129
155.0, 129
160.0, 130
165.0, 131
170.0, 132
175.0, 132
180.0, 132
185.0, 133
190.0, 134
195.0, 135
200.0, 135
205.0, 135
210.0, 135
215.0, 136
220.0, 136
225.0, 136
230.0, 137
235.0, 137
240.0, 137
245.0, 137
250.0, 138
255.0, 138
260.0, 138
265.0, 138
270.0, 139
275.0, 138
280.0, 138
285.0, 138
290.0, 138
295.0, 138
300.0, 138
305.0, 138
310.0, 138
315.0, 139
320.0, 140
325.0, 141
330.0, 141
335.0, 141
340.0, 141
345.0, 142
350.0, 141
355.0, 142
360.0, 142
365.0, 143
370.0, 143
375.0, 143
380.0, 143
385.0, 144
390.0, 144
395.0, 144
400.0, 145
405.0, 144
410.0, 145
415.0, 144
420.0, 145
425.0, 145
430.0, 144
435.0, 144
440.0, 144
445.0, 144
450.0, 145
455.0, 144
460.0, 144
465.0, 144
470.0, 145
475.0, 145
480.0, 146
485.0, 147
490.0, 147
495.0, 147
500.0, 147
505.0, 147
510.0, 147
515.0, 147
520.0, 147
525.0, 147
530.0, 147
535.0, 147
540.0, 147
545.0, 147
550.0, 147
555.0, 147
560.0, 146
565.0, 147
570.0, 146
575.0, 146
580.0, 146
585.0, 146
590.0, 147
595.0, 147
600.0, 147
605.0, 148
610.0, 148
615.0, 148
620.0, 147
625.0, 147
630.0, 148
635.0, 148
640.0, 148
645.0, 148
650.0, 148
655.0, 148
660.0, 147
665.0, 148
670.0, 147
675.0, 148
680.0, 148
685.0, 149
690.0, 148
695.0, 148
700.0, 149
705.0, 149
710.0, 149
715.0, 149
720.0, 149
725.0, 149
730.0, 149
735.0, 150
740.0, 150
745.0, 150
750.0, 150
755.0, 150
760.0, 150
765.0, 150
770.0, 149
775.0, 149
780.0, 149
785.0, 149
790.0, 149
795.0, 149
800.0, 148
805.0, 149
810.0, 149
815.0, 149
820.0, 149
825.0, 149
830.0, 149
835.0, 149
840.0, 148
845.0, 148
850.0, 148
855.0, 149
860.0, 150
865.0, 151
870.0, 151
875.0, 151
880.0, 151
885.0, 150
890.0, 151
895.0, 151
900.0, 149
905.0, 147
910.0, 146
915.0, 147
920.0, 150
925.0, 152
930.0, 153
935.0, 153
940.0, 153
945.0, 152
950.0, 152
955.0, 151
960.0, 151
965.0, 152
970.0, 152
975.0, 151
980.0, 152
985.0, 152
990.0, 152
995.0, 153
1000.0, 153
1005.0, 153
1010.0, 153
1015.0, 152
1020.0, 152
1025.0, 152
1030.0, 152
1035.0, 152
1040.0, 152
1045.0, 153
1050.0, 152
1055.0, 152
1060.0, 153
1065.0, 153
1070.0, 153
1075.0, 153
1080.0, 152
1085.0, 152
1090.0, 151
1095.0, 152
1100.0, 152
1105.0, 152
1110.0, 153
1115.0, 153
1120.0, 153
1125.0, 153
1130.0, 153
1135.0, 153
1140.0, 153
1145.0, 153
1150.0, 153
1155.0, 152
1160.0, 152
1165.0, 152
1170.0, 152
1175.0, 153
1180.0, 153
1185.0, 154
1190.0, 154
1195.0, 154
1200.0, 154
