# Time	SRF1-QWR01:CM-Level:4KCVCm Value	SRF1-QWR01:CM-Temp:CavityBottom Value	SRF1-QWR01:CM-Temp:CavityTop Value
2019-04-05 17:01:00	19.246591	4.350003	5.273619
2019-04-05 17:02:00	18.64687	4.328735	5.260197
2019-04-05 17:03:00	17.560886	4.330255	5.25644
2019-04-05 17:04:00	16.639569	4.351185	5.275185
2019-04-05 17:05:00	15.502151	4.383937	5.319689
2019-04-05 17:06:00	14.212393	4.397662	5.301913
2019-04-05 17:07:00	12.584407	4.372967	5.300127
2019-04-05 17:08:00	11.486028	4.358696	5.292474
2019-04-05 17:09:00	11.608694	4.434022	5.366707
2019-04-05 17:10:00	12.106159	4.417298	5.310062
2019-04-05 17:11:00	12.189601	4.401337	5.311579
2019-04-05 17:12:00	15.346453	4.434052	5.337107
2019-04-05 17:13:00	18.578181	4.449767	5.353681
2019-04-05 17:14:00	20.899856	4.454267	5.347583
2019-04-05 17:15:00	23.088287	4.456249	5.354989
2019-04-05 17:16:00	24.293009	4.427075	5.339501
2019-04-05 17:17:00	23.149899	4.382505	5.295334
2019-04-05 17:18:00	22.124049	4.357665	5.282895
2019-04-05 17:19:00	21.365684	4.345233	5.25133
2019-04-05 17:20:00	20.740446	4.330761	5.260458
2019-04-05 17:21:00	20.000236	4.319065	5.230833
2019-04-05 17:22:00	19.495587	4.308765	5.2419
2019-04-05 17:23:00	18.133235	4.309368	5.239699
2019-04-05 17:24:00	17.263868	4.315034	5.248133
2019-04-05 17:25:00	16.515114	4.321207	5.252794
2019-04-05 17:26:00	15.681668	4.32274	5.253523
2019-04-05 17:27:00	14.902111	4.321633	5.246429
2019-04-05 17:28:00	14.022972	4.324086	5.245147
2019-04-05 17:29:00	13.153234	4.32191	5.246975
2019-04-05 17:30:00	12.328362	4.321066	5.235322
2019-04-05 17:31:00	11.384725	4.318965	5.240695
2019-04-05 17:32:00	10.527795	4.321192	5.242056
2019-04-05 17:33:00	9.660999	4.319403	5.239513
2019-04-05 17:34:00	8.937497	4.317263	5.238045
2019-04-05 17:35:00	8.020678	4.316772	5.244284
2019-04-05 17:36:00	7.254115	4.316567	5.243185
2019-04-05 17:37:00	6.42846	4.313961	5.238554
2019-04-05 17:38:00	5.524658	4.31586	5.239557
2019-04-05 17:39:00	4.755355	4.31515	5.244214
2019-04-05 17:40:00	4.037665	4.312759	5.239366
2019-04-05 17:41:00	3.189264	4.308792	5.235206
2019-04-05 17:42:00	2.36789	4.303999	5.207393
2019-04-05 17:43:00	1.708041	4.299411	5.235304
2019-04-05 17:44:00	1.011935	4.293102	5.221046
2019-04-05 17:45:00	0.441536	4.291106	5.22707
2019-04-05 17:46:00	0.061736	4.287663	5.222554
2019-04-05 17:47:00	0.046492	4.286108	5.215139
2019-04-05 17:48:00	0.046637	4.285103	5.225298
2019-04-05 17:49:00	0.046833	4.284568	5.224306
2019-04-05 17:50:00	0.046822	4.284699	5.22274
2019-04-05 17:51:00	0.046677	4.281333	5.224529
2019-04-05 17:52:00	0.046664	4.278621	5.263218
2019-04-05 17:53:00	0.046198	4.277598	5.382028
2019-04-05 17:53:50	0.00293	4.277598	5.382028
2019-04-05 17:54:00	#N/A	4.275767	5.408797
2019-04-05 17:55:00	#N/A	4.272842	5.432668
2019-04-05 17:56:00	#N/A	4.274197	5.437917
2019-04-05 17:57:00	#N/A	4.273134	5.447148
2019-04-05 17:58:00	#N/A	4.274311	5.470489
2019-04-05 17:59:00	#N/A	4.276704	5.48769
2019-04-05 18:00:00	#N/A	4.273132	5.47688
2019-04-05 18:01:00	#N/A	4.274142	5.483087
2019-04-05 18:02:00	#N/A	4.273032	5.482721
2019-04-05 18:03:00	#N/A	4.273891	5.490565
2019-04-05 18:04:00	#N/A	4.271996	5.498921
2019-04-05 18:05:00	#N/A	4.272165	5.494873
2019-04-05 18:06:00	#N/A	4.271574	5.457835
2019-04-05 18:07:00	#N/A	4.272135	5.385088
2019-04-05 18:08:00	#N/A	4.272435	5.44967
2019-04-05 18:09:00	#N/A	4.288765	5.5012
2019-04-05 18:10:00	#N/A	4.288229	5.529637
2019-04-05 18:11:00	#N/A	4.271365	5.535201
2019-04-05 18:12:00	#N/A	4.270455	5.549567
2019-04-05 18:13:00	#N/A	4.270168	5.582477
2019-04-05 18:14:00	#N/A	4.269236	5.588892
2019-04-05 18:15:00	#N/A	4.268137	5.628153
2019-04-05 18:16:00	#N/A	4.267143	5.639323
2019-04-05 18:17:00	#N/A	4.266592	5.647858
2019-04-05 18:18:00	#N/A	4.266865	5.681671
2019-04-05 18:19:00	#N/A	4.266565	5.709937
2019-04-05 18:20:00	#N/A	4.265798	5.751167
2019-04-05 18:21:00	#N/A	4.265738	5.769901
2019-04-05 18:22:00	#N/A	4.273106	5.796768
2019-04-05 18:23:00	#N/A	4.273862	5.790385
2019-04-05 18:24:00	#N/A	4.275033	5.834055
2019-04-05 18:25:00	#N/A	4.275171	5.872281
2019-04-05 18:26:00	#N/A	4.274396	5.861684
2019-04-05 18:27:00	#N/A	4.273567	5.894893
2019-04-05 18:28:00	#N/A	4.273306	5.982922
2019-04-05 18:29:00	#N/A	4.272597	5.992774
2019-04-05 18:30:00	#N/A	4.274171	6.077007
2019-04-05 18:31:00	#N/A	4.276129	6.090754
2019-04-05 18:32:00	#N/A	4.274004	6.142703
2019-04-05 18:33:00	#N/A	4.272367	6.132
2019-04-05 18:34:00	#N/A	4.27171	6.253128
2019-04-05 18:35:00	#N/A	4.270324	6.314365
2019-04-05 18:36:00	#N/A	4.270433	6.362963
2019-04-05 18:37:00	#N/A	4.268475	6.441001
2019-04-05 18:38:00	#N/A	4.269148	6.483626
2019-04-05 18:39:00	#N/A	4.267133	6.55175
2019-04-05 18:40:00	#N/A	4.268078	6.585278
2019-04-05 18:41:00	#N/A	4.267196	6.670854
2019-04-05 18:42:00	#N/A	4.267567	6.727091
2019-04-05 18:43:00	#N/A	4.266715	6.818914
2019-04-05 18:44:00	#N/A	4.263947	6.863727
2019-04-05 18:45:00	#N/A	4.262088	6.957345
2019-04-05 18:46:00	#N/A	4.263463	7.009389
2019-04-05 18:47:00	#N/A	4.264103	7.085575
2019-04-05 18:48:00	#N/A	4.261859	7.143909
2019-04-05 18:49:00	#N/A	4.263178	7.181295
2019-04-05 18:50:00	#N/A	4.260662	7.238638
2019-04-05 18:51:00	#N/A	4.262437	7.293714
2019-04-05 18:52:00	#N/A	4.260795	7.393247
2019-04-05 18:53:00	#N/A	4.263317	7.443048
2019-04-05 18:54:00	#N/A	4.2622	7.476073
2019-04-05 18:55:00	#N/A	4.261137	7.539804
2019-04-05 18:56:00	#N/A	4.260931	7.58769
2019-04-05 18:57:00	#N/A	4.2605	7.622572
2019-04-05 18:58:00	#N/A	4.257484	7.706472
2019-04-05 18:59:00	#N/A	4.25789	7.744333
2019-04-05 19:00:00	#N/A	4.255039	7.796485
2019-04-05 19:01:00	#N/A	4.25598	7.826332
2019-04-05 19:02:00	#N/A	4.255727	7.943121
2019-04-05 19:03:00	#N/A	4.251475	7.974374
2019-04-05 19:04:00	#N/A	4.254927	8.068663
2019-04-05 19:05:00	#N/A	4.268998	8.050358
2019-04-05 19:06:00	#N/A	4.368678	8.140867
2019-04-05 19:07:00	#N/A	4.501669	8.18173
2019-04-05 19:08:00	#N/A	4.653645	8.2871
2019-04-05 19:09:00	#N/A	5.474002	8.343769
2019-04-05 19:10:00	#N/A	6.280761	8.578172
2019-04-05 19:11:00	#N/A	7.429336	8.93736
2019-04-05 19:12:00	#N/A	8.758462	9.297177
2019-04-05 19:13:00	#N/A	9.545243	9.725833
2019-04-05 19:14:00	#N/A	9.989584	10.23612
2019-04-05 19:15:00	#N/A	10.406411	10.573514
2019-04-05 19:16:00	#N/A	10.770888	10.910477
2019-04-05 19:17:00	#N/A	11.096887	11.199509
2019-04-05 19:18:00	#N/A	11.44892	11.532192
2019-04-05 19:19:00	#N/A	11.731788	11.776653
2019-04-05 19:20:00	#N/A	12.007969	12.047068
2019-04-05 19:21:00	#N/A	12.280279	12.289715
2019-04-05 19:22:00	#N/A	12.540622	12.563216
2019-04-05 19:23:00	#N/A	12.781303	12.883699
2019-04-05 19:24:00	#N/A	13.059682	13.162901
2019-04-05 19:25:00	#N/A	13.336417	13.351741
2019-04-05 19:26:00	#N/A	13.610451	13.613467
2019-04-05 19:27:00	#N/A	13.886331	13.892901
2019-04-05 19:28:00	#N/A	14.15915	14.122123
