# 
# Filename    : /tmp/rfq_tt_h05_ai_c.txt
# PV name     : RFQ:TT:H05:AI_C
# From        : 2015-02-06T16:45:01.158839
# To          : 2015-02-13T16:45:01.158839
# queryString : ?pv=mean_300(RFQ:TT:H05:AI_C)&from=2015-02-06T16%3A45%3A01.158839%2B09%3A00&to=2015-02-13T16%3A45%3A01.158839%2B09%3A00
# hostname    : munjipc0
# host IP     : 127.0.1.1
# 
# time, val, nanos, status, severity
2015-02-06T16:47:30, 22.7633333333, 0, 0, 0 
2015-02-06T16:52:30, 22.6973758865, 0, 0, 0 
2015-02-06T16:57:30, 22.6283802817, 0, 0, 0 
2015-02-06T17:02:30, 22.5243617021, 0, 0, 0 
2015-02-06T17:07:30, 22.4247426471, 0, 0, 0 
2015-02-06T17:12:30, 22.2471724138, 0, 0, 0 
2015-02-06T17:17:30, 22.1752430556, 0, 0, 0 
2015-02-06T17:22:30, 22.1219148936, 0, 0, 0 
2015-02-06T17:27:30, 22.0703225806, 0, 0, 0 
2015-02-06T17:32:30, 22.0183848797, 0, 0, 0 
2015-02-06T17:37:30, 21.9251428571, 0, 0, 0 
2015-02-06T17:42:30, 21.8462587413, 0, 0, 0 
2015-02-06T17:47:30, 21.7986805556, 0, 0, 0 
2015-02-06T17:52:30, 21.7503272727, 0, 0, 0 
2015-02-06T17:57:30, 21.7025964912, 0, 0, 0 
2015-02-06T18:02:30, 21.6506666667, 0, 0, 0 
2015-02-06T18:07:30, 21.5742756184, 0, 0, 0 
2015-02-06T18:12:30, 21.5118309859, 0, 0, 0 
2015-02-06T18:17:30, 21.4668292683, 0, 0, 0 
2015-02-06T18:22:30, 21.3979787234, 0, 0, 0 
2015-02-06T18:27:30, 21.34, 0, 0, 0 
2015-02-06T18:32:30, 21.2797202797, 0, 0, 0 
2015-02-06T18:37:30, 21.2400353357, 0, 0, 0 
2015-02-06T18:42:30, 21.1938078292, 0, 0, 0 
2015-02-06T18:47:30, 21.1429577465, 0, 0, 0 
2015-02-06T18:52:30, 21.0502857143, 0, 0, 0 
2015-02-06T18:57:30, 20.9969204152, 0, 0, 0 
2015-02-06T19:02:30, 20.9362454874, 0, 0, 0 
2015-02-06T19:07:30, 20.869122807, 0, 0, 0 
2015-02-06T19:12:30, 20.8185409253, 0, 0, 0 
2015-02-06T19:17:30, 20.753951049, 0, 0, 0 
2015-02-06T19:22:30, 20.6919655172, 0, 0, 0 
2015-02-06T19:27:30, 20.623745583, 0, 0, 0 
2015-02-06T19:32:30, 20.5758041958, 0, 0, 0 
2015-02-06T19:37:30, 20.5236610169, 0, 0, 0 
2015-02-06T19:42:30, 20.4599305556, 0, 0, 0 
2015-02-06T19:47:30, 20.4160899654, 0, 0, 0 
2015-02-06T19:52:30, 20.344532872, 0, 0, 0 
2015-02-06T19:57:30, 20.2967148014, 0, 0, 0 
2015-02-06T20:02:30, 20.2437894737, 0, 0, 0 
2015-02-06T20:07:30, 20.1740909091, 0, 0, 0 
2015-02-06T20:12:30, 20.1148042705, 0, 0, 0 
2015-02-06T20:17:30, 20.0751929825, 0, 0, 0 
2015-02-06T20:22:30, 20.0252595156, 0, 0, 0 
2015-02-06T20:27:30, 19.9813333333, 0, 0, 0 
2015-02-06T20:32:30, 19.915, 0, 0, 0 
2015-02-06T20:37:30, 19.8528315412, 0, 0, 0 
2015-02-06T20:42:30, 19.818442029, 0, 0, 0 
2015-02-06T20:47:30, 19.7769964664, 0, 0, 0 
2015-02-06T20:52:30, 19.7177738516, 0, 0, 0 
2015-02-06T20:57:30, 19.670326087, 0, 0, 0 
2015-02-06T21:02:30, 19.61, 0, 0, 0 
2015-02-06T21:07:30, 19.5749469965, 0, 0, 0 
2015-02-06T21:12:30, 19.5288659794, 0, 0, 0 
2015-02-06T21:17:30, 19.4804395604, 0, 0, 0 
2015-02-06T21:22:30, 19.4170567376, 0, 0, 0 
2015-02-06T21:27:30, 19.3670877193, 0, 0, 0 
2015-02-06T21:32:30, 19.3275517241, 0, 0, 0 
2015-02-06T21:37:30, 19.295017301, 0, 0, 0 
2015-02-06T21:42:30, 19.2453846154, 0, 0, 0 
2015-02-06T21:47:30, 19.1935314685, 0, 0, 0 
2015-02-06T21:52:30, 19.1452464789, 0, 0, 0 
2015-02-06T21:57:30, 19.0945936396, 0, 0, 0 
2015-02-06T22:02:30, 19.0648951049, 0, 0, 0 
2015-02-06T22:07:30, 19.0096587031, 0, 0, 0 
2015-02-06T22:12:30, 18.960625, 0, 0, 0 
2015-02-06T22:17:30, 18.9209122807, 0, 0, 0 
2015-02-06T22:22:30, 18.8800340136, 0, 0, 0 
2015-02-06T22:27:30, 18.8392907801, 0, 0, 0 
2015-02-06T22:32:30, 18.8041696113, 0, 0, 0 
