Current[A]     Field_Gradient[T/m]
0.0                 0.08916     
1.105               0.27965     
2.21                0.47013     
3.315               0.66062     
4.42                0.85111     
5.525               1.0416      
6.63                1.23208     
7.735               1.42257     
8.84                1.61306     
9.945               1.80355     
11.05               1.99403     
12.155              2.18452     
13.26               2.37501     
14.365              2.5655      
15.47               2.75598     
16.575              2.94647     
17.68               3.13696     
18.785              3.32745     
19.89               3.51794     
20.995              3.70842     
22.1                3.89891     
23.205              4.0894      
24.31               4.27989     
25.415              4.47037     
26.52               4.66086     
27.625              4.85135     
28.73               5.04184     
29.835              5.23232     
30.94               5.42281     
32.045              5.6133      
33.15               5.80379     
34.255              5.99427     
35.36               6.18476     
36.465              6.37525     
37.57               6.56574     
38.675              6.75622     
39.78               6.94671     
40.885              7.1372      
41.99               7.32769     
43.095              7.51817     
44.2                7.70866     
45.305              7.89915     
46.41               8.08964     
47.515              8.28013     
48.62               8.47061     
49.725              8.6611      
50.83               8.85159     
51.935              9.04208     
53.04               9.23256     
54.145              9.42305     
55.25               9.61354     
56.355              9.80403     
57.46               9.99451     
58.565              10.185      
59.67               10.37549    
60.775              10.56598    
61.88               10.75646    
62.985              10.94695    
64.09               11.13744    
65.195              11.32793    
66.3                11.51841    
67.405              11.7089     
68.51               11.89939    
69.615              12.08988    
70.72               12.28037    
71.825              12.47085    
72.93               12.66134    
74.035              12.85183    
75.14               13.04232    
76.245              13.2328     
77.35               13.42329    
78.455              13.61378    
79.56               13.80427    
80.665              13.99475    
81.77               14.18524    
82.875              14.37573    
83.98               14.56622    
85.085              14.7567     
86.19               14.94719    
87.295              15.13768    
88.4                15.32817    
89.505              15.51865    
90.61               15.70914    
91.715              15.89963    
92.82               16.09012    
93.925              16.2806     
95.03               16.47109    
96.135              16.66158    
97.24               16.85207    
98.345              17.04256    
99.45               17.23304    
100.555             17.42353    
101.66              17.61402    
102.765             17.80451    
103.87              17.99499    
104.975             18.18548    
106.08              18.37597    
107.185             18.56646    
108.29              18.75694    
109.395             18.94743    
110.5               19.13792    
111.605             19.32841    
112.71              19.51889    
113.815             19.70938    
114.92              19.89987    
116.025             20.09036    
117.13              20.28084    
118.235             20.47133    
119.34              20.66182    
120.445             20.85231    
121.55              21.0428     
122.655             21.23328    
123.76              21.42377    
124.865             21.61426    
125.97              21.80475    
127.075             21.99469    
128.18              22.18429    
129.285             22.37354    
130.39              22.56241    
131.495             22.75089    
132.6               22.93895    
133.705             23.12658    
134.81              23.31375    
135.915             23.50045    
137.02              23.68665    
138.125             23.87234    
139.23              24.05749    
140.335             24.24208    
141.44              24.42609    
142.545             24.60949    
143.65              24.79227    
144.755             24.97439    
145.86              25.15585    
146.965             25.3366     
148.07              25.51664    
149.175             25.69593    
150.28              25.87444    
151.385             26.05216    
152.49              26.22906    
153.595             26.40512    
154.7               26.58029    
155.805             26.75457    
156.91              26.92792    
158.015             27.10032    
159.12              27.27173    
160.225             27.44214    
161.33              27.6115     
162.435             27.7798     
163.54              27.94701    
164.645             28.11309    
165.75              28.27801    
166.855             28.44175    
167.96              28.60427    
169.065             28.76555    
170.17              28.92556    
171.275             29.08425    
172.38              29.24161    
173.485             29.39759    
174.59              29.55217    
175.695             29.70531    
176.8               29.85699    
177.905             30.00716    
179.01              30.15579    
180.115             30.30285    
181.22              30.44831    
182.325             30.59213    
183.43              30.73427    
184.535             30.8747     
185.64              31.01338    
186.745             31.15029    
187.85              31.28537    
188.955             31.4186     
190.06              31.54993    
191.165             31.67934    
192.27              31.80677    
193.375             31.9322     
194.48              32.05559    
195.585             32.17689    
196.69              32.29607    
197.795             32.41308    
198.9               32.5279     
200.005             32.64047    
201.11              32.75076    
202.215             32.85872    
203.32              32.96432    
204.425             33.06751    
205.53              33.16825    
206.635             33.2665     
207.74              33.36222    
208.845             33.45536    
209.95              33.54588    
211.055             33.63374    
212.16              33.71889    
213.265             33.80129    
214.37              33.88089    
215.475             33.95765    
216.58              34.03153    
217.685             34.10247    
218.79              34.17043    
219.895             34.23537    
221.0               34.29723    
