Current[A]     Field_Gradient[T/m]
0.0                 -0.51551    
0.03                -0.51144    
0.061               -0.50738    
0.091               -0.50331    
0.121               -0.49925    
0.151               -0.49518    
0.182               -0.49112    
0.212               -0.48705    
0.242               -0.48299    
0.273               -0.47893    
0.303               -0.47486    
0.333               -0.4708     
0.364               -0.46673    
0.394               -0.46267    
0.424               -0.4586     
0.455               -0.45454    
0.485               -0.45047    
0.515               -0.44641    
0.545               -0.44234    
0.576               -0.43828    
0.606               -0.43422    
0.636               -0.43015    
0.667               -0.42609    
0.697               -0.42202    
0.727               -0.41796    
0.758               -0.41389    
0.788               -0.40983    
0.818               -0.40576    
0.848               -0.4017     
0.879               -0.39764    
0.909               -0.39357    
0.939               -0.38951    
0.97                -0.38544    
1.0                 -0.38138    
1.03                -0.37731    
1.06                -0.37325    
1.091               -0.36918    
1.121               -0.36512    
1.151               -0.36106    
1.182               -0.35699    
1.212               -0.35293    
1.242               -0.34886    
1.273               -0.3448     
1.303               -0.34073    
1.333               -0.33667    
1.363               -0.3326     
1.394               -0.32854    
1.424               -0.32447    
1.454               -0.32041    
1.485               -0.31635    
1.515               -0.31228    
1.545               -0.30822    
1.576               -0.30415    
1.606               -0.30009    
1.636               -0.29602    
1.667               -0.29196    
1.697               -0.28789    
1.727               -0.28383    
1.757               -0.27977    
1.788               -0.2757     
1.818               -0.27164    
1.848               -0.26757    
1.879               -0.26351    
1.909               -0.25944    
1.939               -0.25538    
1.97                -0.25131    
2.0                 -0.24725    
2.03                -0.24318    
2.06                -0.23912    
2.091               -0.23506    
2.121               -0.23099    
2.151               -0.22693    
2.182               -0.22286    
2.212               -0.2188     
2.242               -0.21473    
2.272               -0.21067    
2.303               -0.2066     
2.333               -0.20254    
2.363               -0.19848    
2.394               -0.19441    
2.424               -0.19035    
2.454               -0.18628    
2.485               -0.18222    
2.515               -0.17815    
2.545               -0.17409    
2.575               -0.17002    
2.606               -0.16596    
2.636               -0.16189    
2.666               -0.15783    
2.697               -0.15377    
2.727               -0.1497     
2.757               -0.14564    
2.788               -0.14157    
2.818               -0.13751    
2.848               -0.13344    
2.878               -0.12938    
2.909               -0.12531    
2.939               -0.12125    
2.969               -0.11719    
3.0                 -0.11312    
3.03                -0.10906    
3.06                -0.10499    
3.091               -0.10093    
3.121               -0.09686    
3.151               -0.0928     
3.182               -0.08873    
3.212               -0.08467    
3.242               -0.0806     
3.272               -0.07654    
3.303               -0.07248    
3.333               -0.06841    
3.363               -0.06435    
3.394               -0.06028    
3.424               -0.05622    
3.454               -0.05215    
3.485               -0.04809    
3.515               -0.04402    
3.545               -0.03996    
3.575               -0.0359     
3.606               -0.03183    
3.636               -0.02777    
3.666               -0.0237     
3.697               -0.01964    
3.727               -0.01557    
3.757               -0.01151    
3.788               -0.00744    
3.818               -0.00338    
3.848               0.00069     
3.878               0.00475     
3.909               0.00881     
3.939               0.01288     
3.969               0.01694     
4.0                 0.02101     
4.03                0.02507     
4.06                0.02914     
4.091               0.0332      
4.121               0.03727     
4.151               0.04133     
4.181               0.04539     
4.212               0.04946     
4.242               0.05352     
4.272               0.05759     
4.303               0.06165     
4.333               0.06572     
4.363               0.06978     
4.394               0.07385     
4.424               0.07791     
4.454               0.08197     
4.484               0.08604     
4.515               0.0901      
4.545               0.09417     
4.575               0.09823     
4.606               0.1023      
4.636               0.10636     
4.666               0.11043     
4.697               0.11449     
4.727               0.11856     
4.757               0.12262     
4.787               0.12668     
4.818               0.13075     
4.848               0.13481     
4.878               0.13888     
4.909               0.14294     
4.939               0.14701     
4.969               0.15107     
5.0                 0.15514     
5.03                0.1592      
5.06                0.16326     
5.09                0.16733     
5.121               0.17139     
5.151               0.17546     
5.181               0.17952     
5.212               0.18359     
5.242               0.18765     
5.272               0.19172     
5.303               0.19578     
5.333               0.19985     
5.363               0.20391     
5.393               0.20797     
5.424               0.21204     
5.454               0.2161      
5.484               0.22017     
5.515               0.22423     
5.545               0.2283      
5.575               0.23236     
5.606               0.23643     
5.636               0.24049     
5.666               0.24455     
5.696               0.24862     
5.727               0.25268     
5.757               0.25675     
5.787               0.26081     
5.818               0.26488     
5.848               0.26894     
5.878               0.27301     
5.909               0.27707     
5.939               0.28114     
5.969               0.2852      
5.999               0.28926     
6.03                0.29333     
6.06                0.29739     
6.09                0.30146     
6.121               0.30552     
6.151               0.30959     
6.181               0.31365     
6.212               0.31772     
6.242               0.32178     
6.272               0.32584     
6.302               0.32991     
6.333               0.33397     
6.363               0.33804     
6.393               0.3421      
6.424               0.34617     
6.454               0.35023     
6.484               0.3543      
6.514               0.35836     
6.545               0.36243     
6.575               0.36649     
6.605               0.37055     
6.636               0.37462     
6.666               0.37868     
6.696               0.38275     
6.727               0.38681     
6.757               0.39088     
6.787               0.39494     
6.817               0.39901     
6.848               0.40307     
6.878               0.40713     
6.908               0.4112      
6.939               0.41526     
6.969               0.41933     
6.999               0.42339     
7.03                0.42746     
7.06                0.43152     
7.09                0.43559     
7.12                0.43965     
7.151               0.44372     
7.181               0.44778     
7.211               0.45184     
7.242               0.45591     
7.272               0.45997     
7.302               0.46404     
7.333               0.4681      
7.363               0.47217     
7.393               0.47623     
7.423               0.4803      
7.454               0.48436     
7.484               0.48842     
7.514               0.49249     
7.545               0.49655     
7.575               0.50062     
7.605               0.50468     
7.636               0.50875     
7.666               0.51281     
7.696               0.51688     
7.726               0.52094     
7.757               0.525       
7.787               0.52907     
7.817               0.53313     
7.848               0.5372      
7.878               0.54126     
7.908               0.54533     
7.939               0.54939     
7.969               0.55346     
7.999               0.55752     
8.03                0.56159     
8.06                0.56565     
8.09                0.56971     
8.12                0.57378     
8.151               0.57784     
8.181               0.58191     
8.211               0.58597     
8.242               0.59004     
