[0.0]	[-0.011]
[0.1]	[0.007]
[0.2]	[0.025]
[0.3]	[0.043]
[0.4]	[0.061]
[0.5]	[0.079]
[0.6]	[0.097]
[0.7]	[0.115]
[0.8]	[0.133]
[0.9]	[0.150]
[1.0]	[0.168]
[1.1]	[0.186]
[1.2]	[0.204]
[1.3]	[0.222]
[1.4]	[0.240]
[1.5]	[0.258]
[1.6]	[0.276]
[1.7]	[0.294]
[1.8]	[0.312]
[1.9]	[0.330]
[2.0]	[0.348]
[2.1]	[0.366]
[2.2]	[0.383]
[2.3]	[0.401]
[2.4]	[0.419]
[2.5]	[0.437]
[2.6]	[0.455]
[2.7]	[0.473]
[2.8]	[0.491]
[2.9]	[0.509]
[3.0]	[0.526]
[3.1]	[0.544]
[3.2]	[0.562]
[3.3]	[0.580]
[3.4]	[0.598]
[3.5]	[0.616]
[3.6]	[0.634]
[3.7]	[0.651]
[3.8]	[0.669]
[3.9]	[0.687]
[4.0]	[0.705]
[4.1]	[0.723]
[4.2]	[0.740]
[4.3]	[0.758]
[4.4]	[0.776]
[4.5]	[0.794]
[4.6]	[0.812]
[4.7]	[0.829]
[4.8]	[0.847]
[4.9]	[0.865]
[5.0]	[0.883]
[5.1]	[0.901]
[5.2]	[0.918]
[5.3]	[0.936]
[5.4]	[0.954]
[5.5]	[0.972]
[5.6]	[0.989]
[5.7]	[1.007]
[5.8]	[1.025]
[5.9]	[1.043]
[6.0]	[1.060]
[6.1]	[1.078]
[6.2]	[1.096]
[6.3]	[1.114]
[6.4]	[1.131]
[6.5]	[1.149]
[6.6]	[1.167]
[6.7]	[1.184]
[6.8]	[1.202]
[6.9]	[1.220]
[7.0]	[1.238]
[7.1]	[1.255]
[7.2]	[1.273]
[7.3]	[1.291]
[7.4]	[1.308]
[7.5]	[1.326]
[7.6]	[1.344]
[7.7]	[1.361]
[7.8]	[1.379]
[7.9]	[1.397]
[8.0]	[1.414]
[8.1]	[1.432]
[8.2]	[1.450]
[8.3]	[1.467]
[8.4]	[1.485]
[8.5]	[1.503]
[8.6]	[1.520]
[8.7]	[1.538]
[8.8]	[1.556]
[8.9]	[1.573]
[9.0]	[1.591]
[9.1]	[1.609]
[9.2]	[1.626]
[9.3]	[1.644]
[9.4]	[1.661]
[9.5]	[1.679]
[9.6]	[1.697]
[9.7]	[1.714]
[9.8]	[1.732]
[9.9]	[1.749]
[10.0]	[1.767]
[10.1]	[1.785]
[10.2]	[1.802]
[10.3]	[1.820]
[10.4]	[1.837]
[10.5]	[1.855]
[10.6]	[1.873]
[10.7]	[1.890]
[10.8]	[1.908]
[10.9]	[1.925]
[11.0]	[1.943]
[11.1]	[1.960]
[11.2]	[1.978]
[11.3]	[1.996]
[11.4]	[2.013]
[11.5]	[2.031]
[11.6]	[2.048]
[11.7]	[2.066]
[11.8]	[2.083]
[11.9]	[2.101]
[12.0]	[2.118]
[12.1]	[2.136]
[12.2]	[2.153]
[12.3]	[2.171]
[12.4]	[2.188]
[12.5]	[2.206]
[12.6]	[2.224]
[12.7]	[2.241]
[12.8]	[2.259]
[12.9]	[2.276]
[13.0]	[2.294]
[13.1]	[2.311]
[13.2]	[2.329]
[13.3]	[2.346]
[13.4]	[2.364]
[13.5]	[2.381]
[13.6]	[2.399]
[13.7]	[2.416]
[13.8]	[2.434]
[13.9]	[2.451]
[14.0]	[2.469]
[14.1]	[2.486]
[14.2]	[2.503]
[14.3]	[2.521]
[14.4]	[2.538]
[14.5]	[2.556]
[14.6]	[2.573]
[14.7]	[2.591]
[14.8]	[2.608]
[14.9]	[2.626]
[15.0]	[2.643]
[15.1]	[2.661]
[15.2]	[2.678]
[15.3]	[2.696]
[15.4]	[2.713]
[15.5]	[2.730]
[15.6]	[2.748]
[15.7]	[2.765]
[15.8]	[2.783]
[15.9]	[2.800]
[16.0]	[2.818]
[16.1]	[2.835]
[16.2]	[2.853]
[16.3]	[2.870]
[16.4]	[2.887]
[16.5]	[2.905]
[16.6]	[2.922]
[16.7]	[2.940]
[16.8]	[2.957]
[16.9]	[2.974]
[17.0]	[2.992]
[17.1]	[3.009]
[17.2]	[3.027]
[17.3]	[3.044]
[17.4]	[3.061]
[17.5]	[3.079]
[17.6]	[3.096]
[17.7]	[3.114]
[17.8]	[3.131]
[17.9]	[3.148]
[18.0]	[3.166]
[18.1]	[3.183]
[18.2]	[3.201]
[18.3]	[3.218]
[18.4]	[3.235]
[18.5]	[3.253]
[18.6]	[3.270]
[18.7]	[3.287]
[18.8]	[3.305]
[18.9]	[3.322]
[19.0]	[3.340]
[19.1]	[3.357]
[19.2]	[3.374]
[19.3]	[3.392]
[19.4]	[3.409]
[19.5]	[3.426]
[19.6]	[3.444]
[19.7]	[3.461]
[19.8]	[3.478]
[19.9]	[3.496]
[20.0]	[3.513]
[20.1]	[3.530]
[20.2]	[3.548]
[20.3]	[3.565]
[20.4]	[3.583]
